"","muni_id","muni"
"1",1,"Abington"
"2",2,"Acton"
"3",7,"Amesbury"
"4",9,"Andover"
"5",10,"Arlington"
"6",14,"Ashland"
"7",16,"Attleboro"
"8",18,"Avon"
"9",19,"Ayer"
"10",23,"Bedford"
"11",25,"Bellingham"
"12",26,"Belmont"
"13",28,"Berlin"
"14",30,"Beverly"
"15",31,"Billerica"
"16",32,"Blackstone"
"17",34,"Bolton"
"18",35,"Boston"
"19",37,"Boxborough"
"20",38,"Boxford"
"21",40,"Braintree"
"22",42,"Bridgewater"
"23",44,"Brockton"
"24",46,"Brookline"
"25",48,"Burlington"
"26",49,"Cambridge"
"27",50,"Canton"
"28",51,"Carlisle"
"29",52,"Carver"
"30",56,"Chelmsford"
"31",57,"Chelsea"
"32",64,"Clinton"
"33",65,"Cohasset"
"34",67,"Concord"
"35",71,"Danvers"
"36",73,"Dedham"
"37",78,"Dover"
"38",79,"Dracut"
"39",81,"Dunstable"
"40",82,"Duxbury"
"41",83,"East Bridgewater"
"42",88,"Easton"
"43",92,"Essex"
"44",93,"Everett"
"45",99,"Foxborough"
"46",100,"Framingham"
"47",101,"Franklin"
"48",105,"Georgetown"
"49",107,"Gloucester"
"50",115,"Groton"
"51",116,"Groveland"
"52",118,"Halifax"
"53",119,"Hamilton"
"54",122,"Hanover"
"55",123,"Hanson"
"56",125,"Harvard"
"57",128,"Haverhill"
"58",131,"Hingham"
"59",133,"Holbrook"
"60",136,"Holliston"
"61",138,"Hopedale"
"62",139,"Hopkinton"
"63",141,"Hudson"
"64",142,"Hull"
"65",144,"Ipswich"
"66",145,"Kingston"
"67",146,"Lakeville"
"68",147,"Lancaster"
"69",149,"Lawrence"
"70",155,"Lexington"
"71",157,"Lincoln"
"72",158,"Littleton"
"73",160,"Lowell"
"74",163,"Lynn"
"75",164,"Lynnfield"
"76",165,"Malden"
"77",166,"Manchester"
"78",167,"Mansfield"
"79",168,"Marblehead"
"80",170,"Marlborough"
"81",171,"Marshfield"
"82",174,"Maynard"
"83",175,"Medfield"
"84",176,"Medford"
"85",177,"Medway"
"86",178,"Melrose"
"87",179,"Mendon"
"88",180,"Merrimac"
"89",181,"Methuen"
"90",182,"Middleborough"
"91",184,"Middleton"
"92",185,"Milford"
"93",187,"Millis"
"94",188,"Millville"
"95",189,"Milton"
"96",196,"Nahant"
"97",198,"Natick"
"98",199,"Needham"
"99",205,"Newbury"
"100",206,"Newburyport"
"101",207,"Newton"
"102",208,"Norfolk"
"103",210,"North Andover"
"104",211,"North Attleborough"
"105",213,"North Reading"
"106",215,"Northborough"
"107",216,"Northbridge"
"108",218,"Norton"
"109",219,"Norwell"
"110",220,"Norwood"
"111",229,"Peabody"
"112",231,"Pembroke"
"113",232,"Pepperell"
"114",238,"Plainville"
"115",239,"Plymouth"
"116",240,"Plympton"
"117",243,"Quincy"
"118",244,"Randolph"
"119",245,"Raynham"
"120",246,"Reading"
"121",248,"Revere"
"122",251,"Rockland"
"123",252,"Rockport"
"124",254,"Rowley"
"125",258,"Salem"
"126",259,"Salisbury"
"127",262,"Saugus"
"128",264,"Scituate"
"129",266,"Sharon"
"130",269,"Sherborn"
"131",270,"Shirley"
"132",274,"Somerville"
"133",277,"Southborough"
"134",284,"Stoneham"
"135",285,"Stoughton"
"136",286,"Stow"
"137",288,"Sudbury"
"138",291,"Swampscott"
"139",293,"Taunton"
"140",295,"Tewksbury"
"141",298,"Topsfield"
"142",301,"Tyngsborough"
"143",303,"Upton"
"144",304,"Uxbridge"
"145",305,"Wakefield"
"146",307,"Walpole"
"147",308,"Waltham"
"148",314,"Watertown"
"149",315,"Wayland"
"150",317,"Wellesley"
"151",320,"Wenham"
"152",322,"West Bridgewater"
"153",324,"West Newbury"
"154",328,"Westborough"
"155",330,"Westford"
"156",333,"Weston"
"157",335,"Westwood"
"158",336,"Weymouth"
"159",338,"Whitman"
"160",342,"Wilmington"
"161",344,"Winchester"
"162",346,"Winthrop"
"163",347,"Woburn"
"164",350,"Wrentham"
